,awards,film,is_winner,url,winner(s),year
0,dga,Dances with Wolves,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Kevin Costner,1990
1,dga,Avalon,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Barry Levinson,1990
2,dga,Cinema Paradiso,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Giuseppe Tornatore,1990
3,dga,The Godfather Part III,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Francis Ford Coppola,1990
4,dga,Goodfellas,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,1990
5,dga,The Silence of the Lambs,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Jonathan Demme,1991
6,dga,Bugsy,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Barry Levinson,1991
7,dga,JFK,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Oliver Stone,1991
8,dga,The Prince of Tides,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Barbra Streisand,1991
9,dga,Thelma and Louise,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ridley Scott,1991
10,dga,Unforgiven,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Clint Eastwood,1992
11,dga,The Crying Game,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Neil Jordan,1992
12,dga,A Few Good Men,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Rob Reiner,1992
13,dga,Howards End,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,James Ivory,1992
14,dga,The Player,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Robert Altman,1992
15,dga,Schindler's List,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Spielberg,1993
